Id,MemberId,LoanAmount,TransactionDate,MaturityDate,LoanStatus,InitialInterestAmount,ProductId,RepaymentAmount,RepaymentDate,RepaymentType
298,67,4000.0,2025-01-04 08:01:17.312723+00:00,2025-01-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-02-03 13:44:26.322157+00:00,allocation_repayment
297,66,4000.0,2025-01-04 08:01:00.147565+00:00,2025-01-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-02-03 13:45:12.745245+00:00,allocation_repayment
296,69,8000.0,2025-01-04 07:55:15.979460+00:00,2025-01-14 00:00:00+00:00,fully_settled,1480.0,4,9480.0,2025-02-03 13:45:31.598792+00:00,allocation_repayment
265,49,2000.0,2025-01-03 18:49:00.362332+00:00,2025-01-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-03 13:46:01.876109+00:00,allocation_repayment
257,79,500.0,2025-01-02 20:02:50.307140+00:00,2025-01-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-02-03 13:47:00.246290+00:00,allocation_repayment
251,79,1000.0,2024-12-31 12:26:32.369325+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-03 14:04:23.958308+00:00,allocation_repayment
249,87,10000.0,2024-12-29 04:25:30.983437+00:00,2025-01-14 00:00:00+00:00,fully_settled,1850.0,4,11850.0,2025-02-03 14:04:42.497639+00:00,allocation_repayment
248,79,1000.0,2024-12-28 11:09:51.353171+00:00,2025-01-14 00:00:00+00:00,fully_settled,185.0,4,1185.0,2025-02-03 14:05:02.110992+00:00,allocation_repayment
245,65,2000.0,2024-12-27 18:48:15.662056+00:00,2025-01-14 00:00:00+00:00,fully_settled,370.0,4,2370.0,2025-02-03 14:08:42.093968+00:00,allocation_repayment
214,71,100.0,2024-12-17 16:38:40.192918+00:00,2025-01-14 00:00:00+00:00,fully_settled,18.5,4,118.0,2025-02-03 14:09:20.624095+00:00,allocation_repayment
214,71,100.0,2024-12-17 16:38:40.192918+00:00,2025-01-14 00:00:00+00:00,fully_settled,18.5,4,0.5,2025-02-03 14:10:08.304487+00:00,allocation_repayment
